rst = 1 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 1 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
============Test Case 1 : Testing idle state when there is  electricity============
rst = 0 | clk = 1 | electricity = 1 | generator = 0 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 1 | generator = 0 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
============Test Case 2 : Testing idle state when there is no electricity and no generator============ 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 0 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0000 | 
============Test Case 3 : Testing electricity_check state when there is no electricity and there is generator============
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =  electricity_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
============Test Case 4 : Lift is in ground floor and people is also in ground floor then pressing any of the up or down button to open the door============
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =       weight_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 000000000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
After entering into Lift they are moving up to fifth floor with lights and fans are ON
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
